name,price,image_url
Essential Tee,$19,"data:image/gif;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs="
Loose Jean,$80,"data:image/gif;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs="
Crochet-Style Stitch Button-Through Sweater Polo,$80,"data:image/gif;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs="
Loose Workwear Pant,$90,"data:image/gif;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs="
Tour de France Vintage-Inspired Graphic Tee,$40,"data:image/gif;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs="
PGA Tour Graphic Tee,$40,"data:image/gif;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs="
Camp Collar Linen-Blend Shirt,$60,"data:image/gif;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs="
Pull-On Short,$60,"data:image/gif;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs="
The A&F Collins Tailored Classic Linen-Blend Blazer,$160,"data:image/gif;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs="
The A&F Collins Tailored Linen-Blend Suit Pant,$100,"data:image/gif;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs="
Premium Heavyweight Cropped Tee,$40,"data:image/gif;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs="
90s Straight Modern Chino,$70,"data:image/gif;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs="
Crochet-Style Pattern Button-Through Sweater Polo,$90,"data:image/gif;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs="
Camp Collar Waffle Button-Up Shirt,$70,"data:image/gif;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs="
Linen-Blend Pull-On Pant,$80,"data:image/gif;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs="
Premium Heavyweight Tee,$40,"data:image/gif;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs="
Linen Button-Up Shirt,$80,"data:image/gif;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs="
Camp Collar Summer Linen-Blend Shirt,$60,"data:image/gif;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs="
Athletic Loose Jean,$80,"data:image/gif;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs="
Premium Heavyweight Cropped Tank,$29,"data:image/gif;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs="
Straight Linen-Blend Fixed Waist Pant,$80,"data:image/gif;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs="
Olympics Graphic Tee,$40,"data:image/gif;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs="
Vintage-Inspired Cropped Tee,$29,"data:image/gif;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs="
Camp Collar Linen-Blend Textured Shirt,$60,"data:image/gif;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs="
Relaxed Pull-On Short,$70,"data:image/gif;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs="
Super Skinny Modern Chino,$70,"data:image/gif;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs="
Olympics Graphic Crew Sweatshirt,$80,"data:image/gif;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs="
Baggy Workwear Jean,$90,"data:image/gif;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs="
Premium Heavyweight Cropped Tee,$40,"data:image/gif;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs="
Loose Jean,$90,"data:image/gif;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs="
Athletic Loose Workwear Pant,$80,"data:image/gif;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs="
Baggy Workwear Jean,$90,"data:image/gif;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs="
Linen-Blend Plainfront Short,$60,"data:image/gif;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs="
Loose Workwear Pant,$80,"data:image/gif;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs="
McLaren Vintage-Inspired Graphic Tee,$40,"data:image/gif;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs="
Camp Collar Summer Linen-Blend Shirt,$60,"data:image/gif;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs="
Chicago Bulls Vintage-Inspired Graphic Tee,$40,"data:image/gif;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs="
